Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaOXA-58_1_AY665723	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem	15616297, 16569863	Enzymatic inactivation	Class D;OXA-58-like;, curated	
blaOXA-59_1_AJ632249	Beta-lactam		15793160	Enzymatic inactivation	Class D;OXA-42-like;Natural in Burkholderia pseudomallei;, curated	
blaOXA-60_1_AF525303	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem	15504844	Enzymatic inactivation	Class D;OXA-60-like;Natural in Ralstonia pickettii;, curated	
blaOXA-61_1_AY587956	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	15917560	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter coli;, curated	
blaOXA-62_1_AY423074	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Meropenem, Piperacillin, Piperacillin+Tazobactam	16569848	Enzymatic inactivation	Class D;OXA-62-like;Natural in Pandoraea pnomenusa;, curated	
blaOXA-63_1_AY619003	Beta-lactam	Amoxicillin, Ampicillin, Piperacillin	18212108	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-64_1_AY750907	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-65_1_AY750908	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-66_1_AY750909	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-67_1_DQ491200	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-68_1_AY750910	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-69_1_AY859527	Beta-lactam	Amoxicillin, Ampicillin	16189095	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-70_1_AY750912	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-71_1_AY750913	Beta-lactam		15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-72_1_AY739646	Beta-lactam		17846127	Enzymatic inactivation	Class D;OXA-24-like;, curated	
blaOXA-73_1_AY762325	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-74_1_EU161636	Beta-lactam	Cefepime, Ceftazidime	19049645	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-75_1_AY859529	Beta-lactam		16189095	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-76_1_AY949203	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-77_1_AY949202	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-78_1_AY862132	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-79_1_EU019534	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-80_1_EU019535	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-82_1_DQ987479	Beta-lactam	Imipenem	17724156	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-83_1_DQ309277	Beta-lactam		16630258, 17610600	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-84_1_DQ309276	Beta-lactam		16630258, 17610600	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-85_1_JANA01000064	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	16870757	Enzymatic inactivation	Class D;OXA-85-like;Natural in Fusobacterium nucleatum subsp. polymorphum;Alternative name blaFUS-1;, curated	
blaOXA-86_1_DQ149247	Beta-lactam		16816400	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-87_1_DQ348075	Beta-lactam		16816400	Enzymatic inactivation	Class D;OXA-51-like;, curated	
blaOXA-88_1_DQ392963	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-89_1_DQ445683	Beta-lactam		16844350	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-90_1_EU547443	Beta-lactam		19567349	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-91_1_DQ519086	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-92_1_DQ335566	Beta-lactam		17391399	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-93_1_DQ519087	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-94_1_DQ519088	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-95_1_DQ519089	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-96_1_DQ519090	Beta-lactam		17284537	Enzymatic inactivation	Class D;OXA-58-like;, curated	
blaOXA-97_1_EF102240	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem	18299404	Enzymatic inactivation	Class D;OXA-58-like;, curated	
blaOXA-98_1_EU255288	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-99_1_DQ888718	Beta-lactam		19394202	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-100_1_AM231720	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-101_1_AM412777	Beta-lactam	Amoxicillin, Ampicillin	19833470	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-104_1_EF581285	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-106_1_EF650032	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-107_1_LAVJ01000082	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-108_1_EF650034	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-109_1_EF650035	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-110_1_EF650036	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-111_1_EF650037	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-112_1_EF650038	Beta-lactam		17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-113_1_EF653400	Beta-lactam		17881631	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-114g_1_HM368376	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter xylosoxidans;, curated	
blaOXA-114f_1_HM368375	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter xylosoxidans;, curated	
blaOXA-114e_1_HM104634	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter xylosoxidans;, curated	
blaOXA-114d_1_HM104633	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter xylosoxidans;, curated	
blaOXA-114c_1_HM056041	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter sp. 2789STDY5608616;, curated	
blaOXA-114a_1_EU188842	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	18362192	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter xylosoxidans;, curated	
blaOXA-114b_1_HM056040	Beta-lactam		21497041	Enzymatic inactivation	Class D;OXA-114a-like;Natural in Achromobacter sp. 2789STDY5608612;, curated	
blaOXA-115_1_EU029998	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-116_1_EU220744	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-117_1_GQ423625	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-118_1_AF371964	Beta-lactam		11972706	Enzymatic inactivation	Class D;OXA-46-like;Natural in Burkholderia cepacia;, curated	
blaOXA-119_1_DQ767903	Beta-lactam		19719593	Enzymatic inactivation	Class D;OXA-46-like;, curated	
blaOXA-120_1_EU255289	Beta-lactam		22972816	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-121_1_EU255290	Beta-lactam		24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-122_1_EU255291	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-123_1_EU255292	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-124_1_EU255293	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-125_1_EU255294	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-126_1_EU255295	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-127_1_EU255296	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-128_1_EU375515	Beta-lactam		19223304	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-129_1_FJWZ01000025	Beta-lactam		18571903	Enzymatic inactivation	Class D;OXA-5-like;, curated	
blaOXA-130_1_EU547445	Beta-lactam		19567349	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-131_1_EU547446	Beta-lactam		19567349	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-132_1_EU547447	Beta-lactam		19567349	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-133_1_EU571228	Beta-lactam		18957398, 19015330	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter radioresistens;, curated	
blaOXA-134_1_HQ122933	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Meropenem	20837764	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated	
blaOXA-136_1_EU086831	Beta-lactam	Amoxicillin, Ampicillin	18719182	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-137_1_EU086834	Beta-lactam		18719182	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-138_1_EU670845	Beta-lactam	Imipenem, Meropenem	19933042	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;, curated	
blaOXA-139_1_AM991978	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-24-like;, curated	
blaOXA-141_1_EF552405	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-142_1_LC169567	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-143_1_GQ861437	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem	19770279	Enzymatic inactivation	Class D;OXA-143-like;, curated	
blaOXA-144_1_FJ872530	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-145_1_FJ790516	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Ceftazidime	21665906	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-146_1_FJ194494	Beta-lactam		23877677	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-147_1_FJ848783	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime	20008045	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-148_1_GQ853679	Beta-lactam		21831604	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-149_1_GQ853680	Beta-lactam		21831604	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-150_1_GQ853681	Beta-lactam		21831604	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-160_1_GU199038	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem	21041501	Enzymatic inactivation	Class D;OXA-24-like;, curated	
blaOXA-161_1_GQ202693	Beta-lactam	Ceftazidime, Piperacillin	19770278	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-162_1_GU197550	Beta-lactam	Amoxicillin, Ampicillin, Cefepime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	22845331	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-163_1_HQ700343	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	21422200	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-164_1_GU831575	Beta-lactam	Imipenem, Meropenem	20921306	Enzymatic inactivation	Class D;OXA-58-like;Carbapenemase phenotype not observed in Escherichia coli laboratory clones, curated	
blaOXA-165_1_HM488986	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-166_1_HM488987	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-167_1_HM488988	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-168_1_HM488989	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-169_1_HM488990	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-170_1_HM488991	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-171_1_HM488992	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-172_1_HM113558	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-173_1_HM113559	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-174_1_HM113560	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-175_1_HM113561	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-176_1_HM113562	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-177_1_HM113563	Beta-lactam		20713680	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-178_1_HM113564	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-179_1_HM570035	Beta-lactam		21393175	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-180_1_HM570036	Beta-lactam		21393175	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-181_1_CM004561	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21768505	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-182_1_HM640278	Beta-lactam		20884158	Enzymatic inactivation	Class D;OXA-143-like;, curated	
blaOXA-183_1_HQ111474	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-192_1_JF273470	Beta-lactam		21812718	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-194_1_HQ425492	Beta-lactam	Imipenem	22083478	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;, curated	
blaOXA-195_1_HQ425493	Beta-lactam		22083478	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;, curated	
blaOXA-196_1_HQ425494	Beta-lactam		22083478	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;, curated	
blaOXA-197_1_HQ425495	Beta-lactam		22083478	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;, curated	
blaOXA-198_1_HQ634775	Beta-lactam	Cefepime, Imipenem, Piperacillin, Piperacillin+Tazobactam	21788473	Enzymatic inactivation	Class D;, curated	
blaOXA-199_1_JN704570	Beta-lactam		23110226	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-200_1_HQ734811	Beta-lactam		22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-201_1_HQ734812	Beta-lactam		22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-202_1_HQ734813	Beta-lactam		22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-203_1_HQ998857	Beta-lactam		21289143	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-204_1_KP027885	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefotaxime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23114766	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-205_1_JF800667	Beta-lactam	Amoxicillin, Ampicillin, Piperacillin	26611758	Enzymatic inactivation	Class D;OXA-46-like;, curated	
blaOXA-206_1_AB634250	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-207_1_LLFS01000355	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	24890588	Enzymatic inactivation	Class D;OXA-24-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-208_1_KF305665	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-209_1_JF268688	Beta-lactam		21820820	Enzymatic inactivation	Class D;OXA-209-like;, curated	
blaOXA-210_1_JF795487	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-211_1_JN861779	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	22128805	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii;, curated	
blaOXA-212_1_JN861780	Beta-lactam		22128805	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii;, curated	
blaOXA-213_1_JN861781	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	22128805	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus;, curated	
blaOXA-214_1_JN861782	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	22128805	Enzymatic inactivation	Class D;OXA-214-like;Natural in Acinetobacter haemolyticus;, curated	
blaOXA-215_1_JN861783	Beta-lactam		22128805	Enzymatic inactivation	Class D;OXA-214-like;Natural in Acinetobacter haemolyticus;, curated	
blaOXA-216_1_FR865168	Beta-lactam		22325121	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-217_1_JN603240	Beta-lactam		22325121	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-219_1_JN215211	Beta-lactam		22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-223_1_JN248564	Beta-lactam		22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-224_1_JN412067	Beta-lactam		22290962	Enzymatic inactivation	Class D;OXA-1-like;, curated	
blaOXA-225_1_JN638887	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-226_1_FJ617207	Beta-lactam	Cefepime, Ceftazidime, Piperacillin	19933793	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-228_1_JQ422053	Beta-lactam		22508298	Enzymatic inactivation	Class D;OXA-228-like;Natural in Acinetobacter bereziniae;, curated	
blaOXA-229_1_JQ422052	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	22508298	Enzymatic inactivation	Class D;OXA-228-like;Natural in Acinetobacter bereziniae;, curated	
